"species","gdd","bb","ind"
"24",348.73,"29","8"
"25",265.18,"22","8"
"26",349.25,"29","8"
"27",267.34,"22","8"
"28",351.17,"29","8"
"29",257.31,"22","8"
"30",427.1,"36","8"
"1",418.14,"36","9"
"2",414.72,"36","9"
"3",185.16,"15","9"
"4",362.56,"29","9"
"5",354.89,"29","9"
"6",326.92,"29","9"
"7",499.26,"43","9"
"8",370.8,"29","9"
"9",370.82,"29","9"
"10",356.71,"29","9"
"11",345.14,"29","9"
"12",487.68,"43","9"
"13",409.12,"36","9"
"14",355.19,"29","9"
"15",424.33,"36","9"
NA,NA,NA,NA
"16",349.56,"29","9"
"17",265.36,"22","9"
"18",337.49,"29","9"
"19",430.11,"36","9"
"20",431.69,"36","9"
"21",333.92,"29","9"
"22",444.51,"36","9"
"23",375.58,"29","9"
"24",360.43,"29","9"
"25",254.32,"22","9"
"26",324.94,"29","9"
"27",260.4,"22","9"
"28",342.27,"29","9"
"29",265.95,"22","9"
"30",452.61,"36","9"
"1",490.38,"43","10"
"2",398.51,"36","10"
"3",192.79,"15","10"
"4",398.12,"36","10"
"5",279.65,"22","10"
"6",363.94,"29","10"
"7",504.34,"43","10"
"8",432.57,"36","10"
"9",319.52,"29","10"
"10",354.6,"29","10"
"11",369.17,"29","10"
"12",468.97,"36","10"
"13",400.62,"36","10"
"14",363.12,"29","10"
"15",438.75,"36","10"
"16",282.68,"22","10"
"17",261.25,"22","10"
"18",334.73,"29","10"
"19",427.76,"36","10"
"20",417.87,"36","10"
"21",340.21,"29","10"
"22",431.55,"36","10"
"23",358.47,"29","10"
"24",345.06,"29","10"
"25",278.9,"22","10"
"26",347.61,"29","10"
"27",274.38,"22","10"
"28",335.41,"29","10"
"29",270.69,"22","10"
"30",421.29,"36","10"
