"species","gdd","urban","method"
2,288.437053722662,1,1
2,393.277550300587,1,0
2,446.815774747301,0,0
2,354.540450228357,0,1
2,404.856070511905,1,0
2,469.341449285626,0,0
2,359.608904532153,0,1
2,329.910787782143,0,1
2,404.603787573279,1,0
2,455.177331305071,0,0
2,407.332878323488,1,0
2,350.336442158291,1,0
2,428.568951808086,1,0
2,460.249187388902,0,0
2,358.486851209314,0,1
2,402.537191596092,1,0
2,439.026442740001,1,0
2,481.125526806908,0,0
2,357.769629497785,0,1
2,349.066571871442,0,1
2,323.659419197502,1,1
2,430.04202359094,1,0
2,401.109540411495,1,0
2,333.885269479568,0,1
2,446.479786489701,0,0
2,336.953598490848,0,1
2,395.068731960026,1,0
2,336.712521935127,0,1
2,435.531263506439,0,0
2,401.541256117249,1,0
2,489.925600966787,0,0
2,294.124757844495,1,1
2,511.012785549507,0,0
2,481.656067431483,0,0
2,379.532156096721,1,0
2,456.195159955106,0,0
2,364.026519787195,0,1
2,310.409730999177,1,1
2,349.52458650074,0,1
2,344.376799137691,0,1
2,351.463859431165,0,1
2,354.093540224976,0,1
2,299.561816049884,1,1
2,361.332048799624,0,1
2,468.295967675278,0,0
2,404.036642758707,1,0
2,391.059058382683,1,0
2,388.069034315927,1,0
2,386.783034803088,1,0
2,339.320786471559,0,1
2,366.359964492034,0,1
2,367.607050574277,0,1
2,377.811021265795,1,0
2,437.063078137165,0,0
2,450.52140091263,0,0
2,350.166368897924,0,1
2,448.573165153125,0,0
2,472.659243145895,0,0
2,427.217558505652,1,0
2,324.50479559517,0,1
2,387.225267572273,0,1
2,414.803750924784,1,0
2,373.926509798675,1,0
2,348.482488934368,0,1
2,474.289594204258,0,0
2,469.130443882062,0,0
2,268.042592241282,1,1
2,495.254054985722,0,0
2,504.766856477319,0,0
2,456.390540437056,0,0
2,349.390906208574,0,1
2,374.96541990939,1,0
2,350.959194769644,0,1
2,436.744186794019,0,0
2,351.396322427014,0,1
2,391.895751332912,1,0
2,441.553688991732,0,0
2,468.811935967772,0,0
2,303.117100788338,1,1
2,335.66290192202,0,1
2,284.508986757944,1,1
2,465.081301305105,0,0
2,363.858807666541,1,0
2,412.836653202542,1,0
2,309.517794332187,1,1
2,355.179839707244,0,1
2,418.112789588222,1,0
2,437.074504633304,0,0
2,480.914892593355,0,0
2,439.685486416442,0,0
2,400.573749251674,1,0
2,321.498424751709,0,1
2,340.691253462357,0,1
2,359.082343402278,0,1
2,297.902161593501,1,1
2,392.649386751715,1,0
2,380.92503757953,1,0
2,460.736255099727,0,0
2,365.807421159829,0,1
2,328.646147779308,0,1
2,430.740993274081,1,0
2,411.900795135095,1,0
2,478.788395014355,0,0
2,343.29015130385,1,0
2,464.77193163747,0,0
2,467.073952686894,0,0
2,440.493505406102,0,0
2,385.888789319824,1,0
2,430.772199938991,0,0
2,423.420767664974,0,0
2,265.085369864787,1,1
2,435.736962304972,0,0
2,286.480793117941,1,1
2,395.784583238282,1,0
2,321.875865217427,1,1
2,329.783934278259,1,1
2,262.524226072189,1,1
2,376.987114727515,0,1
2,438.136472916954,0,0
2,389.300591244851,1,0
2,394.413770736816,1,0
2,278.277781890292,1,1
2,342.290661370632,0,1
2,307.642292501604,1,1
2,410.65681632882,1,0
2,375.882158598083,0,1
2,387.729388741638,1,0
2,403.722014778297,1,0
2,288.513738358499,1,1
2,359.154868854311,0,1
2,457.640936062327,0,0
2,474.005849875126,0,0
2,387.950977654552,1,0
2,442.133349148982,0,0
2,431.229454041705,1,0
2,405.840030845226,1,0
2,497.015942004424,0,0
2,426.759138903658,0,0
2,444.621222123265,0,0
2,368.165413383514,1,0
2,465.43774114155,0,0
2,284.770004340452,1,1
2,408.465834673244,1,0
2,458.942887913015,0,0
2,473.623813045755,0,0
2,304.285629951466,1,1
2,403.965778316664,1,0
2,338.171143027829,0,1
2,298.826472309452,1,1
2,381.020696177513,1,0
2,348.43533374063,0,1
2,296.757107107495,1,1
2,470.277279894856,0,0
2,299.244636712685,1,1
2,484.916853456841,0,0
2,412.928421086332,1,0
2,413.172698587486,1,0
2,281.221735862005,1,1
2,368.436353869535,0,1
2,355.277668342449,0,1
2,383.999927152783,1,0
2,327.558008923346,0,1
2,490.585863386744,0,0
2,475.631818958439,0,0
2,374.623044228158,0,1
2,341.536420832731,1,0
2,374.54936385444,0,1
2,343.206999396123,0,1
2,479.310385662128,0,0
2,377.527203460884,1,0
2,435.912850853935,0,0
2,273.723577500921,1,1
2,395.048303262406,1,0
2,310.981420101293,1,1
2,444.530487021128,0,0
2,278.847461199313,1,1
2,299.92044844961,1,1
2,347.789009834382,0,1
2,345.763307758386,0,1
3,179.761513057549,0,1
3,244.718737473143,0,1
3,232.551446118639,1,1
3,324.60058502564,0,0
3,309.353317290172,1,0
3,341.396369110785,0,0
3,307.454507716678,1,0
3,309.192872019511,0,0
3,300.150486889484,0,0
3,266.625632834581,1,0
3,209.705622103965,0,1
3,279.796885991845,1,0
3,275.233190973912,1,0
3,167.372660762269,1,1
3,180.574553281491,1,1
3,308.04002541941,0,0
3,342.543704712371,0,0
3,322.208562833602,0,0
3,192.085352842838,1,1
3,203.251058200743,0,1
3,203.657345383746,1,1
3,328.813153691917,0,0
3,202.274782300646,0,1
3,327.380981658263,0,0
3,342.173677535485,0,0
3,338.447930633395,0,0
3,305.301065715562,0,0
3,367.493156741119,0,0
3,330.885118439472,1,0
3,165.161326622538,1,1
3,183.239462791967,1,1
3,243.367354597413,0,1
3,219.186257512294,0,1
3,230.009678948032,0,1
3,326.481906496654,0,0
3,294.513524050411,1,0
3,346.43881063538,0,0
3,228.358237224844,0,1
3,199.216304875007,0,1
3,334.739713823606,0,0
3,243.382840170309,0,1
3,286.311430997731,1,0
3,191.320988605872,1,1
3,277.32183397474,1,0
3,216.688106586799,0,1
3,211.09382925594,0,1
3,306.347874388837,0,0
3,237.700628402824,0,1
3,210.790118024581,0,1
3,169.462615823002,1,1
3,174.305241844777,1,1
3,227.308786206943,0,1
3,207.325792689891,1,1
3,253.364851623557,0,1
3,296.621256368908,1,0
3,211.600631118106,0,1
3,185.225355649651,1,1
3,205.156028851997,1,1
3,332.494367731463,0,0
3,227.703697155607,0,1
3,319.259119099554,0,0
3,216.043248560012,0,1
3,215.83097541716,0,1
3,216.420197044758,1,1
3,181.784979888727,1,1
3,321.125929867456,0,0
3,281.465798739211,1,0
3,335.41650203328,0,0
3,302.483132599715,1,0
3,367.687909244517,0,0
3,339.38499172393,0,0
3,215.361783332376,0,1
3,289.345693110242,1,0
3,300.500891592862,1,0
3,181.986334363083,1,1
3,195.363165778498,1,1
3,296.066423503172,1,0
3,337.355525364455,0,0
3,253.084805839342,1,0
3,221.627636910778,1,1
3,272.876264497796,1,0
3,320.038840124315,0,0
3,351.076167867888,0,0
3,365.783473025753,0,0
3,236.039970864278,0,1
3,215.526408058503,1,1
3,202.27846933601,1,1
3,290.117156807822,1,0
3,317.274778530829,0,0
3,290.4602254196,1,0
3,309.523636983784,0,0
3,280.003927272624,1,0
3,333.350982811645,0,0
3,232.115102566196,1,1
3,241.315910574064,0,1
3,353.081125678342,0,0
3,263.450586965488,1,0
3,198.537913366892,0,1
3,226.234764340953,1,1
3,190.925124056402,1,1
3,287.037608926538,1,0
3,295.914728153175,0,0
3,231.048725161751,0,1
3,301.760401262054,1,0
3,249.020263126263,0,1
3,281.394314480788,1,0
3,310.236797743242,1,0
3,304.565749564686,1,0
3,318.046755048783,0,0
3,165.109399190075,1,1
3,236.379204998333,0,1
3,352.539796803544,0,0
3,159.964842030278,1,1
3,294.194372070883,1,0
3,318.66792292689,0,0
3,294.867903255327,1,0
3,226.639083290843,0,1
3,248.647867328194,0,1
3,196.597615190477,1,1
3,281.201152576408,1,0
3,292.290340054215,1,0
3,308.21246747499,0,0
3,211.068993160236,1,1
3,307.083086895948,0,0
3,311.186090750524,0,0
3,263.813128842812,1,0
3,190.608783332693,1,1
3,273.321036522686,1,0
3,347.377297645085,0,0
3,208.213621700119,1,1
3,147.165064526168,1,1
3,208.77618923846,1,1
3,336.997531049314,0,0
3,219.569420994452,0,1
3,200.958200824477,1,1
3,369.860878600409,0,0
3,329.818627680503,0,0
3,197.108390465389,1,1
3,181.011369302098,1,1
3,324.533961136386,0,0
3,290.958607848918,0,0
3,351.368134292452,0,0
3,217.945516444096,1,1
3,292.973755681301,1,0
3,234.093684470204,1,1
3,319.110820690103,0,0
3,184.568599516251,0,1
3,295.814882749294,0,0
3,359.010864991178,0,0
3,330.018832263947,0,0
3,305.296620338804,1,0
3,187.109008334538,1,1
3,224.732813712185,0,1
3,311.557368347212,1,0
3,332.323243775018,0,0
3,319.700160401759,1,0
3,205.11341774767,0,1
3,318.097689799099,1,0
3,188.821479050459,1,1
3,326.909050358446,1,0
3,215.298030545913,0,1
3,281.981841645865,1,0
3,302.615963721629,1,0
3,295.52820362334,1,0
3,248.424282693045,0,1
3,282.199850451533,1,0
3,327.345764828871,1,0
3,284.836961655285,1,0
3,234.021154232882,0,1
3,164.252378260226,1,1
3,194.124524868445,1,1
3,326.31020892457,0,0
3,201.190157636501,1,1
3,227.504503403856,0,1
3,342.905482968884,0,0
3,308.802737278132,1,0
3,243.948300366747,0,1
3,297.037745875532,1,0
3,222.413154597969,0,1
3,331.389982710026,0,0
3,216.292150924272,1,1
3,218.844986758438,0,1
3,294.446622316718,1,0
3,273.654755887472,1,0
3,201.589751912638,1,1
3,306.153450184367,1,0
3,283.485519536191,1,0
3,356.620492313648,0,0
3,243.030164081205,0,1
3,225.826442383484,0,1
3,277.751801645785,0,0
3,274.915350993333,1,0
3,179.012202327642,1,1
3,246.745494564535,0,1
3,200.027165869625,0,1
3,189.201367036724,1,1
3,262.989048357971,1,0
3,289.255396935785,1,0
3,318.316754213026,0,0
3,195.165961197983,1,1
4,364.132670606498,1,0
4,398.864128152598,0,0
4,297.2628281072,1,1
4,294.981903839731,0,1
4,319.325494051342,0,1
4,392.562896326241,0,0
4,371.680119723053,1,0
4,371.096517806253,0,0
4,337.212834162642,0,1
4,355.978798307487,1,0
4,376.822817969023,0,0
4,328.502718110451,1,0
4,253.863051537806,1,1
4,280.974480371541,1,1
4,346.711742849588,0,0
4,388.295991944563,0,0
4,319.783247906825,0,1
4,378.079950783112,0,0
4,331.969944114361,0,1
4,337.923074145966,1,1
4,396.97080967107,0,0
4,297.661770813483,0,1
4,398.885720076325,0,0
4,320.328618792809,1,1
4,367.184776752399,1,0
4,313.561117243285,0,1
4,348.037325169748,0,1
4,389.31696308905,0,0
4,391.812442497586,0,0
4,391.222869269394,0,0
4,336.273365790682,1,0
4,320.456658901547,0,1
4,329.29617332146,1,0
4,437.133643683445,0,0
4,341.439197439675,0,1
4,287.150486039302,1,1
4,338.667349918134,1,0
4,331.633138899701,0,1
4,318.563310034611,0,1
4,358.272624003331,1,0
4,353.648572157916,1,0
4,333.049992082164,0,1
4,358.707337262718,1,0
4,309.794950338489,1,1
4,367.312319689155,0,0
4,309.424037532242,1,1
4,388.470832289294,0,0
4,239.895801112427,1,1
4,329.243329225734,0,1
4,316.573346330584,0,1
4,312.112040366641,1,0
4,358.34676449594,0,0
4,292.231074492181,0,1
4,343.891702723659,1,0
4,316.364764093434,1,1
4,321.780200145515,0,1
4,357.613963344177,1,0
4,312.059014366812,0,1
4,346.965727986582,1,0
4,333.790703149698,1,0
4,356.333834634156,0,1
4,344.470709892762,0,0
4,287.104819818713,1,1
4,288.105245765959,1,1
4,356.89078335721,1,0
4,337.560673974735,0,1
4,305.561266985208,0,1
4,290.203380018535,1,1
4,283.284506060986,1,1
4,365.118377028537,0,0
4,338.577309497629,1,0
4,391.415122376295,0,0
4,316.485050095612,1,0
4,341.067924374615,1,0
4,362.275984513872,0,0
4,309.977272638788,1,1
4,336.578640125308,1,0
4,353.522505821558,0,0
4,353.721455369763,1,0
4,294.263004208945,0,1
4,385.55925794371,0,0
4,366.281703194144,0,1
4,386.209446083955,0,0
4,285.053229144047,1,1
4,421.256350752093,0,0
4,328.553519364989,1,0
4,349.20509811291,1,0
4,378.464377144482,1,0
4,332.677353992514,1,0
4,273.636072992967,1,1
4,302.644026535794,1,1
4,401.07840640487,0,0
4,318.47078109582,0,1
4,323.969868966654,1,0
4,403.137695608731,0,0
4,361.255544923703,0,0
4,264.277078043903,1,1
4,350.518269272833,1,0
4,386.285807231149,0,0
4,338.876824288763,0,1
4,280.259397941354,1,1
4,363.298952980803,0,0
4,353.834113096242,1,0
4,364.773869780442,0,1
4,292.692395147608,1,1
4,310.932676971165,1,1
4,264.187303165113,1,1
4,332.731116097927,1,0
4,269.903598311696,1,1
4,352.349938974983,1,0
4,338.954163501616,0,1
4,387.637595795888,0,0
4,348.189235647261,1,0
4,321.426394526709,1,1
4,396.284226886533,0,0
4,269.958148716531,1,1
4,288.661432239175,1,1
4,305.093426789407,1,0
4,315.754559307733,0,1
4,257.450077952743,1,1
4,348.922716810191,1,0
4,352.969099603276,1,0
4,397.491108656117,0,0
4,380.91519240962,0,0
4,366.494249625051,0,0
4,339.971024457463,1,0
4,325.355504560531,1,0
4,315.0620618865,1,0
4,363.679778830752,1,0
4,338.223092062574,0,1
4,340.013110305323,1,0
4,313.644103739619,1,0
4,399.853386522985,0,0
4,310.5376571757,0,1
4,290.908034856334,0,1
4,391.19932358109,0,0
4,340.558839162183,1,0
4,353.207433829391,0,0
4,305.597822424335,0,1
4,426.013730544386,0,0
4,298.065768311109,1,1
4,372.745517827527,0,0
4,311.338798513507,0,1
4,306.34348761036,1,1
4,335.821360813387,0,1
4,324.585102992495,0,1
4,284.218160061776,1,1
4,382.968764241873,0,0
4,327.063614198943,1,0
4,381.862272566412,0,0
4,294.185008724624,0,1
4,373.548778601021,0,0
4,297.510094523804,1,1
4,370.446694918367,0,0
4,400.221463063453,0,0
4,379.233596783385,0,0
4,342.928148996446,1,0
4,363.76562318872,1,0
4,351.849307566175,0,0
4,342.472326218709,1,0
4,339.126773953511,1,0
4,290.343219770229,1,1
4,290.377875966655,1,1
4,347.254323310563,1,0
4,301.22643744698,0,1
4,366.132158214349,1,0
4,429.555439788987,0,0
4,335.539697598838,1,0
4,411.507888921577,0,0
4,373.783068113421,0,0
4,356.330035080219,1,0
4,283.902581541608,1,1
4,369.289147921037,1,0
4,352.43471070437,0,0
4,415.192355563521,0,0
4,386.310627326053,1,0
4,392.782646688777,0,0
4,343.49542670742,0,0
4,410.255399530048,0,0
4,315.156226454038,0,1
4,350.821082901222,0,1
4,326.14538810696,1,1
4,299.343667356065,0,1
4,349.301477318871,1,0
4,392.152706425673,0,0
4,362.597083325842,1,0
4,316.400988364629,1,0
4,252.450353871007,1,1
4,361.898960652939,0,0
4,362.894691634877,0,0
4,277.441201763889,0,1
4,304.01211118277,1,1
4,272.954462350587,1,1
4,428.131876380193,0,0
4,321.019379621072,1,1
4,255.496342901823,1,1
4,305.481581569686,1,0
4,352.313964360376,0,1
4,361.642157163942,1,0
4,356.679773225344,1,0
5,363.206710222649,0,0
5,307.764488287079,1,0
5,300.887742701463,1,0
5,190.743964355643,0,1
5,279.636973199008,1,0
5,319.545876956497,1,0
5,173.340868044329,1,1
5,157.7098535403,1,1
5,275.276989088638,1,0
5,373.305995781022,0,0
5,344.250770784894,0,0
5,198.020735394324,1,1
5,162.944585149779,1,1
5,363.500507000466,0,0
5,365.107786298199,0,0
5,158.352687960542,1,1
5,294.946480517399,1,0
5,200.746143715613,1,1
5,205.923329062657,1,1
5,193.963229451586,0,1
5,392.004705629485,0,0
5,376.942499263906,0,0
5,129.478463326239,1,1
5,327.40480162485,0,0
5,381.998573495694,0,0
5,324.448253338064,1,0
5,369.692224048038,0,0
5,287.732186071483,1,0
5,227.30367494131,0,1
5,366.016656709244,0,0
5,298.554767233281,1,0
5,350.074928433073,0,0
5,225.69437666171,0,1
5,290.55552147732,1,0
5,146.730043254811,1,1
5,329.722585119451,0,0
5,186.953237724548,1,1
5,190.65688013663,1,1
5,318.602926350903,1,0
5,384.462770679376,0,0
5,199.143150256278,1,1
5,209.632728159324,0,1
5,371.800725511257,0,0
5,184.824030743487,1,1
5,173.066299374885,1,1
5,354.918920864733,0,0
5,230.970981641636,0,1
5,172.983150789475,0,1
5,209.858303405453,1,1
5,191.364046531439,0,1
5,193.682219560635,0,1
5,317.174368539243,1,0
5,275.716515809944,1,0
5,199.126321886262,0,1
5,175.132010700729,1,1
5,371.546730128405,0,0
5,385.615963228591,0,0
5,315.870015266003,0,0
5,209.589868407993,0,1
5,319.824963815311,1,0
5,362.614322591159,0,0
5,286.826824982308,1,0
5,168.147312856849,1,1
5,187.637608501552,0,1
5,304.352974749336,1,0
5,168.931089969182,1,1
5,348.039042724432,0,0
5,276.220497582303,1,0
5,378.877999408761,0,0
5,136.870553540176,1,1
5,318.490644394764,0,0
5,396.389251603821,0,0
5,277.083364844022,1,0
5,342.431912021015,0,0
5,322.292969297107,1,0
5,337.289773928915,0,0
5,189.160660519476,0,1
5,186.754065781908,1,1
5,292.7958876567,1,0
5,172.710908149639,1,1
5,356.55587878253,0,0
5,285.962032861732,1,0
5,370.857467851917,0,0
5,349.579367317076,0,0
5,288.636204243749,1,0
5,355.008936257555,0,0
5,169.978608076218,1,1
5,295.275411534575,1,0
5,289.906683489532,1,0
5,373.695752321054,0,0
5,314.997024126388,1,0
5,301.712336896396,1,0
5,230.934677679089,0,1
5,178.777428968856,1,1
5,328.595580406827,0,0
5,173.664847126703,1,1
5,164.967532472682,1,1
5,150.670703469245,1,1
5,209.248382157604,0,1
5,180.305137948859,1,1
5,285.301152107104,1,0
5,277.969666888606,1,0
5,332.075541223243,0,0
5,364.338419941351,0,0
5,309.392345196075,1,0
5,221.931320137111,0,1
5,359.10933656166,0,0
5,363.046458263558,0,0
5,305.935989520481,1,0
5,332.043088532042,0,0
5,176.522309487659,1,1
5,186.859618878238,1,1
5,347.307280849679,0,0
5,318.709986465744,0,0
5,341.591772098682,0,0
5,225.107961962836,0,1
5,370.643651272865,0,0
5,293.320963184634,1,0
5,266.771512108281,1,0
5,221.582156788018,1,1
5,281.822274893176,1,0
5,180.996446073878,1,1
5,163.669862281997,1,1
5,145.74385726394,1,1
5,194.965015455767,1,1
5,349.983219600654,0,0
5,279.436091132196,1,0
5,362.626607980681,0,0
5,239.783810493521,0,1
5,193.189213952534,1,1
5,356.246685323041,0,0
5,193.985021373933,1,1
5,287.980305389371,1,0
5,316.665575702058,1,0
5,223.942148121265,0,1
5,158.295391358779,1,1
5,298.709565621285,1,0
5,152.649076988158,1,1
5,183.015051474028,1,1
5,319.649898860467,1,0
5,312.60541871945,1,0
5,240.548775974944,0,1
5,236.914823859809,0,1
5,362.08670114119,0,0
5,313.974962095183,1,0
5,175.592339727494,1,1
5,181.254935810672,0,1
5,331.215004021883,0,0
5,196.845360074554,0,1
5,217.590942473404,0,1
5,211.061658544879,0,1
5,165.09726632277,1,1
5,153.516619783489,1,1
5,189.559076839084,1,1
5,225.705783248255,0,1
5,296.446643062152,1,0
5,173.457854551377,1,1
5,341.965319613287,0,0
5,196.170576546875,0,1
5,211.541832680899,0,1
5,237.415213688088,0,1
5,344.918373261952,1,0
5,211.481566200609,1,1
5,405.919854720738,0,0
5,382.985325977103,0,0
5,300.475480334071,1,0
5,315.730568528989,1,0
5,366.72240150857,0,0
5,390.606066752457,0,0
5,233.946136919105,0,1
5,351.402181187072,0,0
5,226.913878015799,0,1
5,320.723427045183,1,0
5,304.366744559628,1,0
5,330.670165998265,0,0
5,176.94762294839,1,1
5,169.802222860665,1,1
5,209.542293525655,1,1
5,282.834777696266,1,0
5,244.099415900322,0,1
5,216.671353254686,0,1
5,153.571728741457,1,1
5,195.60738764894,0,1
5,292.888382227034,1,0
5,349.239855218637,1,0
5,190.84673630961,1,1
5,225.547065421058,0,1
5,165.53857086096,1,1
5,163.528170233912,1,1
5,299.444078133142,1,0
5,358.052425703442,0,0
5,230.226214588261,0,1
5,346.644422574694,0,0
5,147.649451144465,1,1
5,308.034006452344,1,0
5,368.637149257642,0,0
5,339.655957936801,0,0
5,163.185249621864,1,1
5,176.583530093446,0,1
5,218.887424525037,0,1
6,341.661798393006,0,1
6,475.862531028517,0,0
6,363.891574046255,0,1
6,375.942966468805,1,0
6,420.353292397282,1,0
6,484.722075822327,0,0
6,454.473686188384,0,0
6,411.335832100342,1,0
6,311.674561587566,1,1
6,368.867910089825,0,1
6,441.144187442757,0,0
6,335.39088466321,1,1
6,455.869504351698,0,0
6,303.407781022184,1,1
6,424.216477265786,1,0
6,452.294627344131,0,0
6,422.988420588401,1,0
6,478.238000018875,0,0
6,330.633734009781,0,1
6,355.899833680237,0,1
6,356.861635899335,0,1
6,423.653208319503,1,0
6,452.741147963792,0,0
6,324.657645740626,0,1
6,333.937072928151,1,1
6,332.878146386588,1,1
6,309.58839412286,1,1
6,428.335655843733,1,0
6,426.234940477894,1,0
6,352.521527634281,0,1
6,314.062852540324,1,1
6,443.362503449405,0,0
6,336.178747730442,0,1
6,351.356112323133,0,1
6,298.04232661628,1,1
6,388.26900189715,1,0
6,368.739898731518,0,1
6,329.701183654162,1,1
6,467.504381390121,0,0
6,345.725964777499,0,1
6,401.151208827265,1,0
6,322.636235617876,0,1
6,495.504164969509,0,0
6,336.236615616439,0,1
6,434.662723822477,1,0
6,337.735033177832,0,1
6,428.465497411127,1,0
6,405.425015292545,1,0
6,458.248711189579,0,0
6,479.146959225204,0,0
6,422.704134309862,1,0
6,349.315895076353,0,1
6,451.502201342022,0,0
6,351.037046725561,0,1
6,315.185438228262,1,1
6,324.817901681626,1,1
6,427.8243337434,0,0
6,405.976025725157,1,0
6,327.020525558962,1,1
6,408.018931118694,1,0
6,373.077095610909,0,1
6,362.150671156459,0,1
6,458.408708730749,0,0
6,287.842431556015,1,1
6,296.768748075378,1,1
6,295.470805961951,1,1
6,391.876577844,1,0
6,452.183180003317,0,0
6,438.957624584975,1,0
6,470.730015226807,0,0
6,426.252395478601,1,0
6,443.693766869689,0,0
6,472.778096301225,0,0
6,441.354871069195,1,0
6,344.534071978948,0,1
