"species","gdd","bb","ind"
"22",393.65,"31","7"
"23",466.16,"41","7"
"24",381.64,"31","7"
"25",519.72,"41","7"
"26",372.16,"31","7"
"27",521.53,"41","7"
"28",481.3,"41","7"
"29",257.02,"21","7"
"30",279.65,"21","7"
"1",374.09,"31","8"
"2",253.75,"21","8"
"3",245.84,"21","8"
"4",495.41,"41","8"
"5",359.15,"31","8"
"6",275.08,"21","8"
"7",266.41,"21","8"
"8",386.8,"31","8"
"9",395.28,"31","8"
"10",501.78,"41","8"
"11",379.27,"31","8"
"12",372.16,"31","8"
"13",267.14,"21","8"
"14",328.06,"31","8"
"15",370.69,"31","8"
"16",488.4,"41","8"
"17",499.64,"41","8"
"18",372.73,"31","8"
"19",469.47,"41","8"
"20",254.19,"21","8"
"21",251.66,"21","8"
"22",353.59,"31","8"
"23",491.2,"41","8"
"24",353.71,"31","8"
"25",521.34,"41","8"
"26",347.28,"31","8"
"27",598.79,"51","8"
"28",417.75,"31","8"
"29",260.69,"21","8"
"30",266.28,"21","8"
"1",345.74,"31","9"
"2",257.75,"21","9"
"3",242.69,"21","9"
"4",483.17,"41","9"
"5",390.38,"31","9"
"6",235.63,"21","9"
"7",252.01,"21","9"
"8",360.79,"31","9"
"9",360.33,"31","9"
"10",469.72,"41","9"
"11",360.56,"31","9"
"12",366.41,"31","9"
"13",273.57,"21","9"
"14",384.99,"31","9"
"15",373.87,"31","9"
"16",545.3,"41","9"
"17",482.01,"41","9"
"18",359.6,"31","9"
"19",367.93,"31","9"
"20",249.25,"21","9"
"21",250.4,"21","9"
"22",386.47,"31","9"
"23",495.52,"41","9"
"24",367.52,"31","9"
"25",490.68,"41","9"
"26",395.96,"31","9"
"27",612.29,"51","9"
"28",376.59,"31","9"
"29",231.58,"21","9"
"30",252.74,"21","9"
"1",350.58,"31","10"
"2",250.24,"21","10"
"3",238.33,"21","10"
"4",502.64,"41","10"
"5",382.64,"31","10"
"6",238.88,"21","10"
"7",280.48,"21","10"
"8",369.45,"31","10"
"9",385.36,"31","10"
"10",491.35,"41","10"
"11",361.3,"31","10"
"12",375.64,"31","10"
"13",263.37,"21","10"
"14",372.1,"31","10"
"15",351.62,"31","10"
"16",408.39,"31","10"
"17",409.89,"31","10"
"18",366.79,"31","10"
"19",355.71,"31","10"
"20",340.62,"31","10"
"21",267.09,"21","10"
"22",369.82,"31","10"
"23",462.2,"41","10"
"24",370.09,"31","10"
"25",498.68,"41","10"
"26",371.42,"31","10"
"27",495.35,"41","10"
"28",479.7,"41","10"
"29",254.74,"21","10"
"30",250.21,"21","10"
